,steel_design_description,YieldStrength,TensileStrength,TotalElongation
21190,06MN40 500000,46.6,60.5,47.78
24553,06MN40 500000,44.6,59.3,28.15
24596,06MN40 500000,44.8,62.3,39.95
24597,06MN40 500000,46.3,60.7,38.35
30,06MN40 550000,51.4,66.6,29.66
34,06MN40 550000,50.8,64.0,32.15
193,06MN40 550000,48.3,65.6,30.73
198,06MN40 550000,54.1,66.0,30.56
1322,06MN40 550000,54.4,66.3,27.49
1326,06MN40 550000,49.6,64.0,30.97
1329,06MN40 550000,54.4,66.2,27.3
1334,06MN40 550000,52.0,64.5,32.52
1337,06MN40 550000,51.1,64.8,28.76
1343,06MN40 550000,53.0,64.4,30.36
1351,06MN40 550000,50.2,62.9,33.09
1356,06MN40 550000,54.7,66.6,29.51
1361,06MN40 550000,54.8,67.3,29.03
1390,06MN40 550000,52.2,62.3,32.92
1666,06MN40 550000,50.1,63.7,30.53
1669,06MN40 550000,52.5,66.0,30.02
3407,06MN40 550000,54.4,66.4,27.86
3415,06MN40 550000,51.3,63.4,32.32
3418,06MN40 550000,50.8,64.2,32.39
3423,06MN40 550000,53.0,64.8,32.38
3427,06MN40 550000,50.6,63.1,34.71
3432,06MN40 550000,54.9,67.3,27.33
3436,06MN40 550000,52.3,64.8,29.77
3454,06MN40 550000,50.2,64.2,30.05
3457,06MN40 550000,51.1,65.3,33.46
3463,06MN40 550000,53.9,67.4,30.42
6855,06MN40 550000,51.2,63.7,26.35
11609,06MN40 550000,54.8,66.0,25.68
11611,06MN40 550000,54.5,65.3,29.79
11613,06MN40 550000,53.3,65.8,28.6
14906,06MN40 550000,53.2,65.5,32.33
14913,06MN40 550000,52.7,64.9,31.03
14917,06MN40 550000,55.0,64.7,32.66
14919,06MN40 550000,53.8,65.4,31.25
14920,06MN40 550000,55.1,66.7,29.7
14922,06MN40 550000,56.1,65.4,29.88
15044,06MN40 550000,56.3,67.4,37.68
15052,06MN40 550000,57.4,69.3,25.73
15208,06MN40 550000,53.8,64.9,31.12
15211,06MN40 550000,50.4,61.7,36.46
15216,06MN40 550000,56.2,67.6,31.17
15221,06MN40 550000,54.4,65.8,34.08
16266,06MN40 550000,53.8,66.4,31.29
16271,06MN40 550000,49.3,65.1,29.43
16452,06MN40 550000,59.0,68.8,17.49
16464,06MN40 550000,49.3,64.5,40.98
16468,06MN40 550000,56.3,67.4,26.47
21188,06MN40 550000,54.7,66.2,36.99
21192,06MN40 550000,51.9,63.0,43.24
21193,06MN40 550000,51.1,63.3,44.63
21199,06MN40 550000,51.4,62.9,43.94
21202,06MN40 550000,50.8,62.6,43.2
21206,06MN40 550000,50.5,62.4,42.41
21208,06MN40 550000,53.0,65.0,36.08
21210,06MN40 550000,53.1,65.0,37.33
21212,06MN40 550000,52.8,64.0,37.39
21214,06MN40 550000,52.5,64.3,37.38
21217,06MN40 550000,52.0,63.2,41.83
21219,06MN40 550000,47.7,62.1,43.21
21221,06MN40 550000,52.0,63.5,36.05
21224,06MN40 550000,49.2,63.8,35.51
21226,06MN40 550000,52.4,64.7,39.64
21228,06MN40 550000,51.5,63.8,35.06
21230,06MN40 550000,51.7,63.9,36.13
21232,06MN40 550000,52.1,63.8,35.81
21235,06MN40 550000,53.3,64.8,36.36
21237,06MN40 550000,52.3,64.3,35.27
21240,06MN40 550000,50.6,63.0,38.4
21243,06MN40 550000,52.5,64.5,36.81
21245,06MN40 550000,53.2,65.0,36.17
21250,06MN40 550000,54.6,66.5,32.3
21253,06MN40 550000,53.2,65.7,31.7
21259,06MN40 550000,53.8,64.3,39.99
21261,06MN40 550000,51.0,62.4,40.9
21267,06MN40 550000,51.4,62.6,39.67
21270,06MN40 550000,53.5,63.4,39.92
21276,06MN40 550000,53.9,65.4,35.93
21279,06MN40 550000,54.3,64.3,32.76
21284,06MN40 550000,53.6,65.1,35.21
21287,06MN40 550000,55.2,66.0,33.75
21293,06MN40 550000,54.2,65.6,31.3
21296,06MN40 550000,55.3,65.7,31.71
21301,06MN40 550000,53.8,67.0,29.37
21304,06MN40 550000,53.4,66.0,31.72
21310,06MN40 550000,52.2,65.7,34.18
21317,06MN40 550000,51.8,66.2,29.54
21321,06MN40 550000,54.3,66.3,31.19
21326,06MN40 550000,48.7,64.7,28.48
21328,06MN40 550000,49.4,62.2,42.43
23459,06MN40 550000,51.4,63.9,32.34
23461,06MN40 550000,52.9,64.0,33.48
23465,06MN40 550000,51.4,64.2,30.97
23468,06MN40 550000,51.5,63.0,31.14
23474,06MN40 550000,53.1,64.0,29.84
23478,06MN40 550000,54.4,66.0,29.29
23485,06MN40 550000,55.5,67.3,29.38
23490,06MN40 550000,52.3,65.1,32.18
24302,06MN40 550000,55.6,69.0,28.58
24305,06MN40 550000,57.7,69.7,27.26
24307,06MN40 550000,57.1,69.3,26.11
24309,06MN40 550000,52.5,67.8,29.98
24503,06MN40 550000,56.7,67.7,35.55
24505,06MN40 550000,53.1,64.6,41.28
24506,06MN40 550000,54.4,66.1,24.75
24516,06MN40 550000,55.9,66.3,30.2
24527,06MN40 550000,55.8,65.9,27.91
24530,06MN40 550000,56.8,67.2,31.23
24531,06MN40 550000,54.6,65.9,31.06
24533,06MN40 550000,52.3,63.4,33.14
24535,06MN40 550000,54.0,65.6,30.34
24540,06MN40 550000,53.9,64.4,29.25
24543,06MN40 550000,52.8,64.7,31.05
24547,06MN40 550000,53.1,63.8,33.05
24572,06MN40 550000,49.1,61.5,32.47
24575,06MN40 550000,51.3,63.8,32.53
24578,06MN40 550000,53.0,64.3,29.77
24580,06MN40 550000,53.6,65.3,30.6
24583,06MN40 550000,54.1,65.6,26.41
24600,06MN40 550000,50.4,63.7,41.8
24604,06MN40 550000,50.2,61.8,39.65
24607,06MN40 550000,52.4,66.6,38.78
24612,06MN40 550000,56.9,69.2,36.11
24616,06MN40 550000,49.7,63.0,36.5
24622,06MN40 550000,51.6,63.4,33.6
24624,06MN40 550000,53.2,64.3,31.88
24630,06MN40 550000,54.9,63.8,31.04
24634,06MN40 550000,51.3,64.9,35.84
24640,06MN40 550000,54.6,66.7,27.02
28688,06MN40 550000,55.2,68.6,27.66
28692,06MN40 550000,56.1,68.1,26.07
28695,06MN40 550000,56.6,67.6,27.56
28699,06MN40 550000,58.2,68.3,29.79
31108,06MN40 550000,53.3,66.7,35.45
31113,06MN40 550000,53.7,66.9,33.45
31117,06MN40 550000,54.4,69.6,31.48
37013,06MN40 550000,51.4,65.7,28.08
39984,06MN40 550000,53.4,64.1,39.85
40017,06MN40 550000,53.8,65.0,32.31
40021,06MN40 550000,54.0,65.3,33.38
40025,06MN40 550000,52.0,65.6,28.13
40029,06MN40 550000,55.5,67.6,29.74
41329,06MN40 550000,57.6,69.0,20.8
41339,06MN40 550000,58.0,68.0,37.8
41345,06MN40 550000,59.0,69.4,38.2
41348,06MN40 550000,55.3,67.1,30.61
41350,06MN40 550000,53.6,67.5,36.43
41356,06MN40 550000,54.6,66.0,32.87
41361,06MN40 550000,53.1,65.1,36.25
41364,06MN40 550000,57.3,67.4,30.49
41369,06MN40 550000,56.6,67.0,24.5
41372,06MN40 550000,55.9,67.8,31.42
41380,06MN40 550000,54.4,66.5,33.3
41390,06MN40 550000,57.3,70.6,29.02
43651,06MN40 550000,54.1,66.3,40.3
43653,06MN40 550000,51.6,65.9,41.29
43656,06MN40 550000,55.3,65.9,41.0
43664,06MN40 550000,54.9,65.1,39.22
43668,06MN40 550000,53.1,63.8,42.01
43672,06MN40 550000,53.1,64.5,41.85
43673,06MN40 550000,52.1,65.8,38.8
43680,06MN40 550000,52.5,64.1,39.53
43685,06MN40 550000,51.5,65.6,34.94
43689,06MN40 550000,51.1,63.7,35.16
43695,06MN40 550000,53.3,65.5,33.58
43698,06MN40 550000,54.5,65.8,33.62
43703,06MN40 550000,54.0,66.4,30.31
43705,06MN40 550000,54.5,66.3,32.86
43708,06MN40 550000,52.0,64.7,31.18
43714,06MN40 550000,52.8,65.6,36.4
43719,06MN40 550000,53.7,66.1,32.12
43723,06MN40 550000,53.3,65.8,30.42
43728,06MN40 550000,54.9,65.0,28.99
43732,06MN40 550000,55.4,67.8,32.72
43738,06MN40 550000,52.0,66.1,31.11
43742,06MN40 550000,51.7,66.1,31.61
43751,06MN40 550000,54.6,66.9,27.92
43787,06MN40 550000,53.8,66.4,31.2
44917,06MN40 550000,55.5,69.0,26.49
44923,06MN40 550000,53.1,67.9,29.22
44933,06MN40 550000,54.4,65.9,30.26
46481,06MN40 550000,51.7,64.9,38.34
46486,06MN40 550000,53.7,64.4,32.73
46490,06MN40 550000,58.8,69.1,27.66
46495,06MN40 550000,55.8,68.9,28.81
46500,06MN40 550000,57.7,69.2,28.58
46506,06MN40 550000,54.2,66.5,33.82
46516,06MN40 550000,52.1,64.3,38.25
46520,06MN40 550000,54.7,66.0,37.49
46574,06MN40 550000,55.9,66.2,33.2
46580,06MN40 550000,55.1,66.5,31.38
46583,06MN40 550000,54.5,64.6,33.06
46591,06MN40 550000,55.2,66.0,30.77
46597,06MN40 550000,55.5,68.3,34.36
46601,06MN40 550000,55.5,67.4,29.23
46607,06MN40 550000,56.7,67.9,29.72
48408,06MN40 550000,54.4,66.7,28.61
